"","Utile","Intuitiva","Chiara","Informativa","Bella","Totale","Genere:","Età:","dUtile","dInt","dCh","dIn","dB","dT"
"1",6,6,6,6,6,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"2",5,5,4,5,5,5,"Femmina","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"3",5,5,6,6,6,6,"Femmina","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"4",5,4,3,6,6,5,"Maschio","20-30","[4-6]","[4-6]","[1-3]","[4-6]","[4-6]","[4-6]"
"5",5,5,5,5,5,5,"Femmina","30-45","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"6",6,5,5,5,5,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"7",3,2,2,3,2,5,"Maschio","20-30","[1-3]","[1-3]","[1-3]","[1-3]","[1-3]","[4-6]"
"8",3,6,6,6,4,5,"Femmina","20-30","[1-3]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"9",3,3,3,3,3,5,"Maschio","20-30","[1-3]","[1-3]","[1-3]","[1-3]","[1-3]","[4-6]"
"10",5,5,5,5,6,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"11",5,5,5,5,5,5,"Maschio","61+","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"12",2,2,2,2,3,3,"Maschio","20-30","[1-3]","[1-3]","[1-3]","[1-3]","[1-3]","[1-3]"
"13",6,5,5,6,6,6,"Femmina","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"14",4,2,2,5,3,3,"Maschio","20-30","[4-6]","[1-3]","[1-3]","[4-6]","[1-3]","[1-3]"
"15",4,3,4,3,5,5,"Maschio","20-30","[4-6]","[1-3]","[4-6]","[1-3]","[4-6]","[4-6]"
"16",6,3,3,5,5,4,"Maschio","20-30","[4-6]","[1-3]","[1-3]","[4-6]","[4-6]","[4-6]"
"17",5,3,3,6,2,3,"Maschio","20-30","[4-6]","[1-3]","[1-3]","[4-6]","[1-3]","[1-3]"
"18",5,3,3,5,4,4,"Maschio","20-30","[4-6]","[1-3]","[1-3]","[4-6]","[4-6]","[4-6]"
"19",2,3,2,2,3,5,"Maschio","20-30","[1-3]","[1-3]","[1-3]","[1-3]","[1-3]","[4-6]"
"20",5,5,6,5,5,6,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"21",3,3,5,6,5,4,"Maschio","20-30","[1-3]","[1-3]","[4-6]","[4-6]","[4-6]","[4-6]"
"22",5,4,5,5,3,5,"Maschio","30-45","[4-6]","[4-6]","[4-6]","[4-6]","[1-3]","[4-6]"
"23",5,6,5,6,5,5,"Femmina","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"24",5,6,5,6,5,5,"Femmina","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"25",3,4,4,3,3,5,"Maschio","20-30","[1-3]","[4-6]","[4-6]","[1-3]","[1-3]","[4-6]"
"26",5,4,4,6,6,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
"27",5,6,5,4,3,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[1-3]","[4-6]"
"28",4,3,3,5,5,4,"Maschio","20-30","[4-6]","[1-3]","[1-3]","[4-6]","[4-6]","[4-6]"
"29",2,2,1,4,3,3,"Maschio","20-30","[1-3]","[1-3]","[1-3]","[4-6]","[1-3]","[1-3]"
"30",5,5,4,5,3,4,"Femmina","45-60","[4-6]","[4-6]","[4-6]","[4-6]","[1-3]","[4-6]"
"31",5,4,4,6,5,5,"Maschio","20-30","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]","[4-6]"
