g,popu,collect(g1)
"{name:dubstep,lpa:1,gid:dubstep}",21,"[{name:electronic,lpa:163,gid:electronic},{name:electronica,lpa:192,gid:electronica},{name:trance,lpa:281,gid:trance},{name:disco,lpa:146,gid:disco},{name:trap,lpa:379,gid:trap},{name:rave,lpa:256,gid:rave},{name:techno,lpa:232,gid:techno},{name:pop,lpa:313,gid:pop},{name:instrumental,lpa:137,gid:instrumental},{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:club,lpa:208,gid:club},{name:club,lpa:208,gid:club},{name:electro,lpa:127,gid:electro},{name:dance,lpa:239,gid:dance},{name:instrumental,lpa:137,gid:instrumental},{name:trance,lpa:281,gid:trance},{name:electronic,lpa:163,gid:electronic},{name:electronica,lpa:192,gid:electronica},{name:disco,lpa:146,gid:disco},{name:rave,lpa:256,gid:rave},{name:pop,lpa:313,gid:pop},{name:techno,lpa:232,gid:techno},{name:trap,lpa:379,gid:trap}]"
"{name:grunge,lpa:7,gid:grunge}",5,"[{name:indie,lpa:145,gid:indie},{name:trap,lpa:379,gid:trap},{name:rock,lpa:165,gid:rock},{name:rock,lpa:165,gid:rock},{name:indie,lpa:145,gid:indie},{name:trap,lpa:379,gid:trap}]"
"{name:orchestral,lpa:8,gid:orchestral}",5,"[{name:blues,lpa:337,gid:blues},{name:fusion,lpa:139,gid:fusion},{name:rock,lpa:165,gid:rock},{name:funk,lpa:348,gid:funk},{name:funk,lpa:348,gid:funk},{name:fusion,lpa:139,gid:fusion},{name:blues,lpa:337,gid:blues},{name:rock,lpa:165,gid:rock}]"
"{name:bachata,lpa:11,gid:bachata}",14,"[{name:dance,lpa:239,gid:dance},{name:tango,lpa:148,gid:tango},{name:kizomba,lpa:371,gid:kizomba},{name:reggaeton,lpa:350,gid:reggaeton},{name:merengue,lpa:71,gid:merengue},{name:salsa,lpa:201,gid:salsa},{name:latin,lpa:169,gid:latin},{name:dance,lpa:239,gid:dance},{name:latin,lpa:169,gid:latin},{name:tango,lpa:148,gid:tango},{name:reggaeton,lpa:350,gid:reggaeton},{name:merengue,lpa:71,gid:merengue},{name:salsa,lpa:201,gid:salsa},{name:kizomba,lpa:371,gid:kizomba}]"
"{name:turntablism,lpa:27,gid:turntablism}",1,"[{name:electro,lpa:127,gid:electro},{name:electro,lpa:127,gid:electro}]"
"{name:rocksteady,lpa:41,gid:rocksteady}",3,"[{name:ska,lpa:135,gid:ska},{name:ska,lpa:135,gid:ska}]"
"{name:merengue,lpa:71,gid:merengue}",6,"[{name:reggaeton,lpa:350,gid:reggaeton},{name:salsa,lpa:201,gid:salsa},{name:bachata,lpa:11,gid:bachata},{name:dance,lpa:239,gid:dance},{name:dance,lpa:239,gid:dance},{name:salsa,lpa:201,gid:salsa},{name:reggaeton,lpa:350,gid:reggaeton},{name:bachata,lpa:11,gid:bachata}]"
"{name:rumba,lpa:93,gid:rumba}",3,"[{name:timba,lpa:391,gid:timba},{name:reggaeton,lpa:350,gid:reggaeton},{name:club,lpa:208,gid:club},{name:timba,lpa:391,gid:timba},{name:reggaeton,lpa:350,gid:reggaeton},{name:club,lpa:208,gid:club}]"
"{name:mambo,lpa:95,gid:mambo}",6,"[{name:chanson,lpa:344,gid:chanson},{name:blues,lpa:337,gid:blues},{name:ballad,lpa:211,gid:ballad},{name:dance,lpa:239,gid:dance},{name:blues,lpa:337,gid:blues},{name:dance,lpa:239,gid:dance},{name:ballad,lpa:211,gid:ballad},{name:chanson,lpa:344,gid:chanson}]"
"{name:drone,lpa:124,gid:drone}",203,"[{name:ska,lpa:135,gid:ska},{name:punk,lpa:282,gid:punk},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:grindcore,lpa:244,gid:grindcore},{name:rave,lpa:256,gid:rave},{name:swing,lpa:340,gid:swing},{name:jazz,lpa:339,gid:jazz},{name:house,lpa:321,gid:house},{name:ambient,lpa:170,gid:ambient},{name:soul,lpa:303,gid:soul},{name:trap,lpa:379,gid:trap},{name:ska,lpa:135,gid:ska},{name:rave,lpa:256,gid:rave},{name:rock,lpa:165,gid:rock},{name:punk,lpa:282,gid:punk},{name:soul,lpa:303,gid:soul},{name:house,lpa:321,gid:house},{name:trap,lpa:379,gid:trap},{name:swing,lpa:340,gid:swing},{name:jazz,lpa:339,gid:jazz},{name:grindcore,lpa:244,gid:grindcore},{name:metal,lpa:354,gid:metal},{name:ambient,lpa:170,gid:ambient}]"
